iter	Passed	Remaining
1371	34259	15681
1372	34285	15656
1373	34305	15629
1374	34327	15603
1375	34352	15578
1376	34374	15552
1377	34400	15527
1378	34420	15500
1379	34446	15475
1380	34468	15449
1381	34488	15422
1382	34515	15398
1383	34536	15371
1384	34562	15347
1385	34586	15321
1386	34613	15297
1387	34633	15270
1388	34654	15244
1389	34678	15218
1390	34703	15193
1391	34727	15168
1392	34752	15143
1393	34774	15117
1394	34800	15092
1395	34823	15066
1396	34854	15044
1397	34886	15022
1398	34919	15001
1399	34944	14976
1400	34971	14952
1401	34995	14926
1402	35021	14902
1403	35046	14877
1404	35072	14852
1405	35097	14827
1406	35123	14803
1407	35144	14776
1408	35167	14750
1409	35191	14725
1410	35216	14700
1411	35242	14675
1412	35268	14651
1413	35292	14626
1414	35320	14602
1415	35345	14577
1416	35372	14553
1417	35392	14526
1418	35413	14499
1419	35438	14474
1420	35464	14450
1421	35488	14425
1422	35512	14399
1423	35536	14374
1424	35561	14349
1425	35590	14326
1426	35621	14303
1427	35646	14278
1428	35670	14253
1429	35697	14228
1430	35731	14207
1431	35767	14187
1432	35801	14165
1433	35825	14140
1434	35851	14115
1435	35875	14090
1436	35903	14066
1437	35927	14041
1438	35951	14015
1439	35980	13992
1440	36003	13966
1441	36030	13942
1442	36056	13917
1443	36079	13892
1444	36104	13867
1445	36130	13842
1446	36157	13818
1447	36185	13794
1448	36225	13775
1449	36256	13752
1450	36284	13728
1451	36317	13706
1452	36339	13680
1453	36368	13656
1454	36396	13632
1455	36422	13608
1456	36448	13583
1457	36471	13558
1458	36498	13533
1459	36525	13509
1460	36548	13483
1461	36570	13457
1462	36600	13434
1463	36623	13408
1464	36648	13383
1465	36671	13357
1466	36692	13331
1467	36718	13306
1468	36739	13280
1469	36767	13256
1470	36794	13231
1471	36821	13207
1472	36846	13182
1473	36872	13157
1474	36893	13131
1475	36922	13107
1476	36953	13085
1477	36979	13060
1478	37004	13035
1479	37033	13011
1480	37061	12987
1481	37090	12964
1482	37119	12940
1483	37142	12914
1484	37163	12888
1485	37185	12862
1486	37204	12835
1487	37230	12810
1488	37255	12785
1489	37281	12760
1490	37311	12737
1491	37340	12713
1492	37368	12689
1493	37387	12662
1494	37413	12638
1495	37434	12611
1496	37459	12586
1497	37485	12561
1498	37508	12536
1499	37536	12512
1500	37564	12488
1501	37585	12461
1502	37612	12437
1503	37638	12412
1504	37660	12386
1505	37686	12362
1506	37713	12337
1507	37737	12312
1508	37760	12286
1509	37782	12260
1510	37808	12235
1511	37835	12211
1512	37861	12186
1513	37884	12161
1514	37910	12136
1515	37931	12110
1516	37957	12085
1517	37981	12060
1518	38008	12035
1519	38033	12010
1520	38058	11985
1521	38084	11960
1522	38112	11936
1523	38136	11911
1524	38167	11888
1525	38193	11863
1526	38220	11839
1527	38243	11813
1528	38268	11788
1529	38292	11763
1530	38320	11739
1531	38340	11712
1532	38366	11687
1533	38391	11662
1534	38419	11638
1535	38444	11613
1536	38467	11587
1537	38488	11561
1538	38514	11536
1539	38536	11510
1540	38562	11486
1541	38587	11461
1542	38612	11436
1543	38636	11410
1544	38659	11385
1545	38687	11360
1546	38716	11337
1547	38741	11312
1548	38767	11287
1549	38798	11264
1550	38819	11238
1551	38846	11213
1552	38866	11187
1553	38889	11161
1554	38914	11136
1555	38942	11112
1556	38969	11087
1557	38997	11063
1558	39023	11038
1559	39047	11013
1560	39071	10988
1561	39093	10962
1562	39119	10937
1563	39140	10911
1564	39161	10885
1565	39185	10859
1566	39210	10834
1567	39232	10808
1568	39259	10784
1569	39278	10757
1570	39300	10731
1571	39319	10705
1572	39342	10679
1573	39364	10653
1574	39400	10631
1575	39427	10607
1576	39452	10582
1577	39475	10556
1578	39500	10531
1579	39522	10506
1580	39545	10480
1581	39570	10455
1582	39595	10430
1583	39619	10405
1584	39650	10381
1585	39677	10357
1586	39705	10332
1587	39728	10307
1588	39755	10282
1589	39778	10257
1590	39804	10232
1591	39824	10206
1592	39848	10181
1593	39873	10156
1594	39902	10131
1595	39929	10107
1596	39956	10082
1597	39978	10057
1598	40005	10032
1599	40027	10006
1600	40054	9982
